publication_number,patent_citation,publication_date,assignee,title
EP2764969B1,0,0,0,"DAIMLERCHRYSLER AG: ""Umwelt-Zertifikat Mercedes-Benz C-Klasse Environmental Certificate Mercedes-Benz C-Class"", 19 January 2007 (2007-01-19), www.daimlerchrysler.com, pages 1 - 52, XP055188560, Retrieved from the Internet <URL:https://www.daimler.com/Projects/c2c/channel/documents/2003760_Environmental_Certificate_Mercedes_Benz_C_Class.pdf> [retrieved on 20150511]"
EP2764969B1,0,0,0,"M. XANTHOS ET AL: ""Prototypes for building applications based on thermoplastic composites containing mixed waste plastics"", POLYMER COMPOSITES, vol. 23, no. 2, 1 April 2002 (2002-04-01), pages 153 - 163, XP055269338, ISSN: 0272-8397, DOI: 10.1002/pc.10421"
EP3024318A1,0,0,0,0
EP3110920A1,0,0,0,0
EP3110920B1,0,0,0,None
EP2818293B9,0,0,0,0
EP2974785A1,0,0,0,"C. BAILLY ET AL., POLYMER, vol. 28, 1987, pages 1009 - 1016"
EP2974785A1,0,0,0,"F. STUDT ET AL., NATURE CHEMISTRY, 2 March 2014 (2014-03-02)"
EP2974785A1,0,0,0,"G. MERLE ET AL.: ""Friedel-Crafts Crosslinked Highly Sulfonated Polyether Ether Ketone (SPEEK) Membranes for a VanadiumlAir Redox Flow Battery"", MEMBRANES, vol. 4, no. 1, 2014, pages 1 - 19, XP055142612, DOI: doi:10.3390/membranes4010001"
EP2974785A1,0,0,0,"GÉRALDINE MERLE ET AL: ""Friedel-Crafts Crosslinked Highly Sulfonated Polyether Ether Ketone (SPEEK) Membranes for a Vanadium/Air Redox Flow Battery"", MEMBRANES, vol. 4, no. 1, 30 December 2013 (2013-12-30), pages 1 - 19, XP055142612, DOI: 10.3390/membranes4010001"
EP2974785A1,0,0,0,"H. LI ET AL.: ""A facile approach to prepare self-cross-linkable sulfonated poly(ether ether ketone) membranes for direct fuel cells"", JOURNAL OF POWER SOURCES, vol. 195, 2010, pages 8061 - 8066, XP028362021, DOI: doi:10.1016/j.jpowsour.2010.06.106"
